שם עברית,תאריך דגימה,מספר זיהוי,B,BR,CA,CAFFE,CARBO,Cl,DO,DP-P,EC,ECFD,F,HARD,HCO3,K,Mg,NO2,NO3,ORP,PFBS,PFHpA,PFHxA,PFOA,PFOS,PHFD,PO4,SILT,SO4,SODIUM AS,SR,T,TDS,TN-N,TOC,TURB
איילון - לוד בסכר המדידה,23/12/2014 00:00,17144,,,47.5,,,54.8,,,,,,,188.0,8.968,6.54,,15.5,,,,,,,,,,31.3,44.32,,,,,,
איילון - לוד בסכר המדידה,25/02/2003 00:00,17144,0.065,,41.4,,,,,,,,,,153.9,5.54,6.94,,11.4,,,,,,,,,,17.1,24.21,,,,,,
איילון - לוד בסכר המדידה,25/12/2005 11:45,17144,0.089,,42.0,,,91.4,,,,,,,182.3,11.7,12.2,,8.0,,,,,,,,,,32.0,70.0,0.302,,,,,
איילון - לוד בסכר המדידה,26/02/2003 11:10,17144,0.068,,41.21,,,30.14,,,,,,,150.9,5.16,6.77,,13.7,,,,,,,,,,11.8,22.34,,,,,,
איילון - לוד בסכר המדידה,26/11/2014 00:00,17144,,,18.1,,,20.2,,,,,,,72.0,4.054,3.52,,7.2,,,,,,,,,,13.8,15.15,,,,,,
איילון - לוד בסכר המדידה,26/11/2014 09:45,17144,,,24.1,,,19.8,,,,,,,80.0,3.503,4.07,,6.9,,,,,,,,,,12.8,13.19,,,,,,
איילון - לוד בסכר המדידה,26/12/2022 00:00,17144,,,,,,13.584,,,,,,,,,,,,,,,,,,,,,,,,,,2.245,3.655,
איילון - לוד בסכר המדידה,27/12/2006 10:00,17144,0.052,0.34,61.1,,,48.1,,,,,,,183.5,5.0,8.1,,2.0,,,,,,,,,,23.5,28.8,,,,,,
איילון - לוד בסכר המדידה,28/02/2009 11:47,17144,,,41.5,,,39.3,,,,,,,167.6,6.9,6.9,,7.7,,,,,,,,,,19.7,30.4,,,,,,
איילון - לוד בסכר המדידה,30/01/2008 10:15,17144,0.088,0.7,34.82,,,35.1,,,,,,,130.0,9.65,7.82,,17.4,,,,,,,,,,21.0,30.01,,,,,,
איילון - לוד בסכר המדידה,30/01/2011 00:00,17144,,,29.82,,,40.0,,,,,,,113.1,6.87,5.51,,9.0,,,,,,,,,,22.0,33.18,,,,,,
איילון - מאגר משמר איילון,12/12/2018 08:30,17142,,,30.9,,,16.8,,,,,,,108.0,4.6,5.2,,15.6,,,,,,,,,,13.3,15.4,,,,,,
איילון - מאגר משמר איילון,13/01/2019 15:35,17142,,,38.5,,,14.0,,,,,,,153.0,4.2,5.6,,,,,,,,,,,,9.4,16.2,,,,,,
איילון - מאגר משמר איילון,15/01/2020 10:20,17142,,,28.3,,,10.3,,,,,,,133.0,3.6,4.5,,,,,,,,,,,,8.4,16.2,,,,,,
איילון - נחלת יצחק,01/02/1949 00:00,17172,,,,,,,,,,,,,,,,,,,,,,,,,,2.963,,,,,,,,
איילון - נחלת יצחק,03/02/1957 00:00,17172,,,,,,30.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
איילון - נחלת יצחק,06/01/1956 00:00,17172,,,,,,40.0,,,,,,11.0,,,,,,,,,,,,,,0.95,,,,,199.0,,,
איילון - נחלת יצחק,07/02/1949 00:00,17172,,,,,,,,,,,,,,,,,,,,,,,,,,4.393,,,,,,,,
איילון - נחלת יצחק,07/12/1955 00:00,17172,,,,,,16.0,,,,,,9.0,,,,,,,,,,,,8.3,,6.9,,,,,122.0,,,
איילון - נחלת יצחק,07/12/1957 00:00,17172,,,,,,20.0,,,,,,,,,,,,,,,,,,,,4.558,,,,,219.0,,,
איילון - נחלת יצחק,08/12/1955 00:00,17172,,,,,,,,,,,,13.0,,,,,,,,,,,,8.5,,0.8,23.0,,,,163.0,,,
איילון - נחלת יצחק,08/12/1957 00:00,17172,,,,,,23.0,,,,,,,,,,,,,,,,,,,,3.104,,,,,156.0,,,
איילון - נחלת יצחק,09/11/1955 00:00,17172,,,,,,18.0,,,,,,14.0,,,,,,,,,,,,8.2,,2.95,,,,,175.0,,,
איילון - נחלת יצחק,10/12/1957 00:00,17172,,,,,,40.0,,,,,,,,,,,,,,,,,,,,0.92,,,,,250.0,,,
איילון - נחלת יצחק,11/01/1958 00:00,17172,,,,,,38.0,,,,,,,,,,,,,,,,,,,,1.495,,,,,143.0,,,
איילון - נחלת יצחק,16/12/1951 00:00,17172,,,,,,24.0,,,,,,11.9,,,,,,,,,,,,7.9,,6.1,,,,,137.0,,,
איילון - נחלת יצחק,21/12/1956 00:00,17172,,,,,,35.0,,,,,,12.0,,,,,,,,,,,,,,3.686,,,,,,,,
איילון - נחלת יצחק,25/12/1949 00:00,17172,,,,,,,,,,,,10.8,,,,,,,,,,,,7.7,,3.9,,,,,12.0,,,
איילון - נחלת יצחק,27/12/1949 00:00,17172,,,,,,,,,,,,8.4,,,,,,,,,,,,7.6,,2.1,,,,,10.0,,,
איילון - נחלת יצחק,29/01/1956 00:00,17172,,,,,,30.0,,,,,,,,,,,,,,,,,,,,1.15,,,,,178.0,,,
איילון - נחלת יצחק,29/12/1949 00:00,17172,,,,,,,,,,,,9.8,,,,,,,,,,,,7.6,,7.5,,,,,12.0,,,
איילון - נחלת יצחק,29/12/1954 00:00,17172,,,,,,15.0,,,,,,9.0,,,,,,,,,,,,7.6,,1.325,,,,,127.0,,,
איילון - נחלת יצחק,30/01/1956 00:00,17172,,,,,,25.0,,,,,,,,,,,,,,,,,,,,2.675,,,,,176.0,,,
איילון - נחלת יצחק,30/01/1958 00:00,17172,,,,,,30.0,,,,,,,,,,,,,,,,,,,,3.247,,,,,170.0,,,
איילון - נחלת יצחק,30/11/1955 00:00,17172,,,,,,19.0,,,,,,10.0,,,,,,,,,,,,8.3,,1.95,,,,,138.0,,,
איילון - נחלת יצחק,30/12/1954 00:00,17172,,,,,,16.0,,,,,,10.0,,,,,,,,,,,,7.4,,2.025,,,,,139.0,,,
איילון - נחלת יצחק,31/01/1958 00:00,17172,,,,,,30.0,,,,,,,,,,,,,,,,,,,,1.169,,,,,147.0,,,
איילון - שכונת עזרא,01/12/2015 00:00,17168,,,41.1,,,96.1,,,,,,,251.0,13.6,10.0,,13.9,,,,,,,,,,39.3,75.7,,,,,,
איילון - שכונת עזרא,02/01/2012 12:00,17168,,,29.31,,,14.9,,,,,,,106.0,3.51,4.72,,5.5,,,,,,,,,,9.5,11.28,,,,,,
איילון - שכונת עזרא,02/04/2006 11:30,17168,,,,,,17.5,,,,,,,,,,,12.9,,,,,,,,,,,,,,,,,
איילון - שכונת עזרא,02/12/1994 00:00,17168,,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
איילון - שכונת עזרא,03/02/1997 00:00,17168,,0.98,52.0,,,28.0,,,,,,,163.0,5.0,7.0,,11.0,,,,,,,,,,12.0,18.0,,,,,,
איילון - שכונת עזרא,04/03/2012 13:47,17168,,,35.7,,,26.3,,,,,,,151.0,5.01,7.06,,7.5,,,,,,,,,,17.2,23.68,,,,,,
איילון - שכונת עזרא,05/03/2017 13:00,17168,,,59.0,,,170.3,,,,,,,337.0,23.2,17.0,,19.4,,,,,,,,,,72.3,140.1,,,,,,
איילון - שכונת עזרא,05/04/2018 00:00,17168,,,72.1,,,236.8,,,,,,,229.0,22.523,21.4,,52.8,,,,,,,,,,71.8,141.0,,,,,,
איילון - שכונת עזרא,05/12/2003 00:00,17168,0.047,,39.8,,,78.7,,,,,,,108.1,8.9,9.5,,35.6,,,,,,,,,,33.7,44.9,0.181,,,,,
איילון - שכונת עזרא,06/01/2013 00:00,17168,,,20.9,,,9.6,,,,,,,86.0,4.1,4.3,,7.6,,,,,,,,,,9.3,12.6,,,,,,
איילון - שכונת עזרא,06/02/2005 00:00,17168,0.06,,47.9,,,21.01,,,,,,,182.9,5.2,7.7,,11.22,,,,,,,,,,14.5,18.6,0.198,,,,,
איילון - שכונת עזרא,07/01/2004 00:00,17168,0.024,,53.2,,,36.5,,,,,,,168.0,5.1,7.1,,10.3,,,,,,,,,,22.0,23.0,0.156,,,,,
איילון - שכונת עזרא,07/02/2005 09:30,17168,0.06,,53.9,,,38.97,,,,,,,203.7,5.28,10.9,,19.05,,,,,,,,,,23.8,28.2,0.19,,,,,
איילון - שכונת עזרא,07/02/2016 12:00,17168,,,18.5,,,23.6,,,,,,,,4.0,3.5,,3.4,,,,,,,,,,12.1,17.7,,,,,,
איילון - שכונת עזרא,08/01/2013 08:45,17168,,,22.7,,,14.5,,,,,,,102.0,3.4,4.2,,5.0,,,,,,,,,,10.2,14.2,,,,,,
איילון - שכונת עזרא,08/02/1995 00:00,17168,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
איילון - שכונת עזרא,09/01/2013 13:10,17168,,,39.0,,,20.6,,,,,,,151.0,4.1,7.8,,11.5,,,,,,,,,,19.6,17.9,,,,,,
איילון - שכונת עזרא,09/11/2022 00:00,17168,,,41.552,,,,,,,,,,,,,,5.714,,,,,,,,,,,,,,,4.8,16.06,
איילון - שכונת עזרא,10/03/2011 00:00,17168,,,35.6,,,41.55,,,,,,,144.0,5.6,6.1,,2.96,,,,,,,,,,16.77,29.4,,,,,,
איילון - שכונת עזרא,10/12/1997 00:00,17168,,,53.0,,,47.0,,,,,,,195.0,8.0,11.0,,10.0,,,,,,,,,,24.0,34.0,,,,,,
איילון - שכונת עזרא,11/01/2006 00:00,17168,0.033,,28.8,,,24.1,,,,,,,129.1,4.9,9.3,,2.4,,,,,,,,,,11.7,20.0,0.147,,,,,
איילון - שכונת עזרא,11/01/2018 00:00,17168,,,61.3,,,196.8,,,,,,,208.0,30.1,15.7,,77.9,,,,,,,,,,76.9,164.6,,,,,,
איילון - שכונת עזרא,11/12/2013 12:00,17168,,,17.5,,,13.3,,,,,,,91.0,2.7,4.2,,3.1,,,,,,,,,,11.4,15.2,,,,,,
איילון - שכונת עזרא,12/01/2006 00:00,17168,0.041,,35.7,,,20.8,,,,,,,139.4,5.0,6.2,,7.5,,,,,,,,,,11.7,19.0,0.158,,,,,
איילון - שכונת עזרא,12/01/2012 07:30,17168,,,35.0,,,27.6,,,,,,,122.0,5.06,5.55,,4.7,,,,,,,,,,16.9,19.49,,,,,,
איילון - שכונת עזרא,12/12/1995 07:00,17168,,,,,,57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
איילון - שכונת עזרא,13/01/2006 00:00,17168,0.059,,38.1,,,32.6,,,,,,,185.7,6.1,8.3,,7.0,,,,,,,,,,16.9,33.0,0.194,,,,,
איילון - שכונת עזרא,13/12/2010 15:00,17168,,,20.03,,,26.9,,,,,,,84.0,3.68,4.59,,6.7,,,,,,,,,,13.5,20.43,,,,,,
איילון - שכונת עזרא,14/03/1994 00:00,17168,,,,,,40.0,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,
איילון - שכונת עזרא,14/03/2007 06:35,17168,0.062,0.1,36.1,,,63.3,,,,,,,122.0,6.9,7.6,,5.5,,,,,,,,,,25.9,37.3,,,,,,
איילון - שכונת עזרא,15/02/2004 00:00,17168,0.046,,62.9,,,80.7,,,,,,,191.2,7.8,9.7,,19.7,,,,,,,,,,21.9,45.8,0.213,,,,,
איילון - שכונת עזרא,16/03/1997 00:00,17168,,0.0,46.0,,,17.0,,,,,,,144.0,6.0,6.0,,12.0,,,,,,,,,,16.0,14.0,,,,,,
איילון - שכונת עזרא,17/12/2002 00:00,17168,0.258,,63.2,,,182.4,,,,,,,189.5,16.0,21.96,,109.0,,,,,,,,,,29.2,130.75,,,,,,
איילון - שכונת עזרא,17/12/2018 11:00,17168,,,25.5,,,,,,,,,,89.0,,4.3,,11.2,,,,,,,,,,,,,,,,,
איילון - שכונת עזרא,18/01/1996 11:00,17168,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
איילון - שכונת עזרא,18/01/2006 13:30,17168,0.046,,30.5,,,39.1,,,,,,,112.1,5.6,7.8,,2.3,,,,,,,,,,14.8,28.6,0.185,,,,,
איילון - שכונת עזרא,18/01/2016 07:00,17168,,,58.4,,,177.52,,,,,,,426.0,24.2,14.7,,17.6,,,,,,,,,,71.1,145.4,,,,,,
איילון - שכונת עזרא,18/12/2002 13:00,17168,0.103,,62.22,,,69.7,,,,,,,203.6,7.38,9.81,,31.7,,,,,,,,,,20.3,40.15,,,,,,
איילון - שכונת עזרא,19/01/1995 00:00,17168,,,,,,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
איילון - שכונת עזרא,19/02/2003 09:30,17168,0.087,,52.85,,,69.26,,,,,,,171.9,6.31,10.52,,13.4,,,,,,,,,,25.3,45.32,,,,,,
איילון - שכונת עזרא,19/12/1994 00:00,17168,,,,,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
איילון - שכונת עזרא,19/12/1997 00:00,17168,,,55.0,,,162.0,,,,,,,291.0,15.0,18.0,,1.0,,,,,,,,,,21.0,100.0,,,,,,
איילון - שכונת עזרא,20/01/2005 00:00,17168,0.049,,45.9,,,19.72,,,,,,,163.0,5.21,6.3,,13.01,,,,,,,,,,15.32,18.6,0.174,,,,,
איילון - שכונת עזרא,20/11/2011 00:00,17168,,,29.66,,,20.4,,,,,,,118.0,4.82,5.45,,5.8,,,,,,,,,,13.3,15.2,,,,,,
איילון - שכונת עזרא,21/02/2003 00:00,17168,0.1,,52.8,,,39.4,,,,,,,195.4,7.99,9.68,,13.3,,,,,,,,,,48.1,36.08,,,,,,
איילון - שכונת עזרא,21/11/2007 00:00,17168,0.056,0.3,36.7,,,35.9,,,,,,,126.5,7.5,7.7,,5.4,,,,,,,,,,20.5,24.7,,,,,,
איילון - שכונת עזרא,21/11/2017 15:00,17168,,,35.09,,,87.7,,,,,,,161.0,13.53,7.84,,4.2,,,,,,,,,,29.9,56.77,,,,,,
איילון - שכונת עזרא,22/02/1997 00:00,17168,,0.17,48.0,,,29.0,,,,,,,148.0,6.0,9.0,,16.0,,,,,,,,,,14.0,18.0,,,,,,
איילון - שכונת עזרא,22/02/2016 12:42,17168,,,17.0,,,19.1,,,,,,,,3.1,11.5,,3.6,,,,,,,,,,9.6,3.1,,,,,,
איילון - שכונת עזרא,22/11/2003 00:00,17168,0.07,,42.9,,,61.3,,,,,,,201.0,9.38,9.6,,11.7,,,,,,,,,,28.3,49.2,0.236,,,,,
איילון - שכונת עזרא,22/11/2004 00:00,17168,0.062,,38.3,,,26.95,,,,,,,148.0,5.2,5.7,,2.535,,,,,,,,,,0.0,19.5,0.187,,,,,
איילון - שכונת עזרא,22/11/2007 00:00,17168,0.051,0.2,37.3,,,26.0,,,,,,,129.6,6.0,7.2,,11.3,,,,,,,,,,17.1,19.3,,,,,,
איילון - שכונת עזרא,23/01/1997 00:00,17168,,0.54,68.0,,,38.0,,,,,,,207.0,8.0,9.0,,23.0,,,,,,,,,,20.0,24.0,,,,,,
איילון - שכונת עזרא,23/02/1994 00:00,17168,,,,,,168.0,,,,,,,,,,,61.0,,,,,,,,,,,,,,,,,
איילון - שכונת עזרא,23/02/2009 00:00,17168,,,27.4,,,40.8,,,,,,,110.4,5.4,6.0,,13.7,,,,,,,,,,19.4,30.3,,,,,,
איילון - שכונת עזרא,23/12/2012 00:00,17168,,,41.0,,,50.7,,,,,,,168.0,8.9,9.1,,12.1,,,,,,,,,,27.51,33.7,,,,,,
איילון - שכונת עזרא,24/01/1994 00:00,17168,,,,,,111.0,,,,,,,,,,,45.0,,,,,,,,,,,,,,,,,
איילון - שכונת עזרא,24/11/1994 00:00,17168,,,,,,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
איילון - שכונת עזרא,25/02/2003 00:00,17168,0.07,,47.0,,,26.8,,,,,,,182.3,5.42,8.48,,11.4,,,,,,,,,,16.4,23.93,,,,,,
איילון - שכונת עזרא,25/02/2003 07:15,17168,0.051,,43.34,,,22.93,,,,,,,162.5,4.12,8.5,,10.8,,,,,,,,,,10.2,18.9,,,,,,
איילון - שכונת עזרא,25/02/2003 12:35,17168,0.058,,47.37,,,28.4,,,,,,,174.7,4.45,8.45,,10.89,,,,,,,,,,10.6,22.18,,,,,,
איילון - שכונת עזרא,25/10/2006 10:30,17168,0.038,0.1,25.0,,,28.3,,,,,,,79.5,4.7,5.5,,10.7,,,,,,,,,,16.2,19.0,,,,,,
איילון - שכונת עזרא,25/12/2005 07:30,17168,0.044,,41.5,,,28.5,,,,,,,152.1,5.5,6.9,,8.0,,,,,,,,,,15.5,25.1,0.186,,,,,
איילון - שכונת עזרא,26/03/1996 00:00,17168,,,,,,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
איילון - שכונת עזרא,26/11/2014 00:00,17168,,,26.6,,,25.3,,,,,,,68.0,2.45,3.62,,5.5,,,,,,,,,,11.1,16.02,,,,,,
איילון - שכונת עזרא,26/12/2005 07:00,17168,0.085,,48.6,,,119.5,,,,,,,189.5,11.5,13.3,,8.7,,,,,,,,,,33.8,75.2,0.326,,,,,
איילון - שכונת עזרא,26/12/2005 08:15,17168,0.084,,47.7,,,91.8,,,,,,,184.4,11.2,12.8,,7.4,,,,,,,,,,31.1,72.3,0.324,,,,,
איילון - שכונת עזרא,26/12/2019 12:00,17168,,,,,,,,,,,,,,,5.5,,8.8,,,,,,,,,,,,,,,,,
איילון - שכונת עזרא,26/12/2022 00:00,17168,,,,,,,,,,,,,,,,,3.174,,,,,,,,,,,,,,,2.331,3.64,
איילון - שכונת עזרא,27/02/2003 07:35,17168,0.07,,60.96,,,49.77,,,,,,,211.4,5.35,13.76,,37.05,,,,,,,,,,31.5,30.67,,,,,,
איילון - שכונת עזרא,27/12/2006 09:00,17168,0.048,0.16,34.3,,,44.1,,,,,,,112.2,5.7,7.1,,9.0,,,,,,,,,,21.4,26.5,,,,,,
איילון - שכונת עזרא,28/02/2009 09:20,17168,,,45.2,,,21.7,,,,,,,158.2,5.0,7.0,,3.6,,,,,,,,,,11.7,19.6,,,,,,
איילון - שכונת עזרא,28/10/2006 09:55,17168,0.034,1.2,21.3,,,175.4,,,,,,,79.8,4.0,3.6,,4.1,,,,,,,,,,33.2,12.8,,,,,,
איילון - שכונת עזרא,28/11/1994 00:00,17168,,,,,,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
איילון - שכונת עזרא,29/10/2006 09:50,17168,0.044,0.1,31.1,,,43.4,,,,,,,108.2,6.0,6.4,,6.7,,,,,,,,,,20.0,26.2,,,,,,
איילון - שכונת עזרא,29/10/2008 00:00,17168,,0.5,41.6,,,110.0,,,,,,,153.7,13.4,13.1,,2.8,,,,,,,,,,45.1,67.5,,,,,,
איילון - שכונת עזרא,30/01/2008 10:15,17168,0.054,0.1,45.0,,,33.1,,,,,,,145.6,6.1,7.7,,14.5,,,,,,,,,,20.0,23.3,,,,,,
איילון - שכונת עזרא,30/01/2011 00:00,17168,,,21.5,,,19.17,,,,,,,93.5,4.97,4.37,,8.76,,,,,,,,,,13.9,19.56,,,,,,
איילון - שכונת עזרא,31/01/2008 12:30,17168,0.098,0.2,43.87,,,61.0,,,,,,,151.4,10.86,11.69,,24.5,,,,,,,,,,30.7,46.68,,,,,,
איילון-נתב''ג,01/02/2012 08:20,17164,,,34.35,,,13.0,,,,,,,112.0,4.26,4.28,,3.0,,,,,,,,,,14.2,12.57,,,,,,
איילון-נתב''ג,01/02/2012 15:35,17164,,,35.93,,,15.0,,,,,,,134.0,5.87,5.78,,6.5,,,,,,,,,,15.1,16.71,,,,,,
איילון-נתב''ג,01/03/2009 09:30,17164,,,39.9,,,30.1,,,,,,,159.5,5.5,6.9,,6.7,,,,,,,,,,17.9,25.3,,,,,,
איילון-נתב''ג,01/04/2019 00:00,17164,,,36.9,,,,,,,,,,115.0,,5.4,,11.4,,,,,,,,,,,,,,,,,
איילון-נתב''ג,02/01/2012 09:20,17164,,,28.34,,,22.38,,,,,,,88.0,4.3,4.44,,4.44,,,,,,,,,,18.94,17.11,,,,,,
איילון-נתב''ג,02/01/2014 13:15,17164,,,58.5,,,196.4,,,,,,,336.0,27.2,18.2,,13.4,,,,,,,,,,75.1,150.1,,,,,,
איילון-נתב''ג,03/11/2009 00:00,17164,,,33.4,,,29.0,,,,,,,125.7,4.628,5.158,,8.1,,,,,,,,,,16.5,20.519,,,,,,
איילון-נתב''ג,04/03/2012 14:20,17164,,,50.31,,,37.8,,,,,,,222.0,7.19,10.77,,12.4,,,,,,,,,,27.2,33.82,,,,,,
איילון-נתב''ג,05/04/2018 00:00,17164,,,50.4,,,196.6,,,,,,,177.0,28.8,11.3,,,,,,,,,,,,71.6,149.7,,,,,,
איילון-נתב''ג,06/01/2013 00:00,17164,,,32.8,,,16.0,,,,,,,129.0,6.3,5.9,,13.0,,,,,,,,,,15.9,18.1,,,,,,
איילון-נתב''ג,07/01/2004 00:00,17164,0.027,,36.8,,,50.9,,,,,,,108.1,5.1,6.6,,16.0,,,,,,,,,,17.7,30.0,0.129,,,,,
איילון-נתב''ג,07/01/2013 00:00,17164,,,21.0,,,23.5,,,,,,,86.0,4.8,4.2,,5.6,,,,,,,,,,13.4,20.5,,,,,,
איילון-נתב''ג,08/01/2004 00:00,17164,0.095,,61.9,,,143.9,,,,,,,195.6,14.4,16.3,,28.5,,,,,,,,,,38.5,91.4,0.319,,,,,
איילון-נתב''ג,08/01/2013 09:00,17164,,,30.6,,,16.5,,,,,,,122.0,4.2,5.3,,8.8,,,,,,,,,,14.8,15.3,,,,,,
איילון-נתב''ג,08/01/2015 00:00,17164,,,35.6,,,50.2,,,,,,,128.0,5.65,7.17,,11.9,,,,,,,,,,21.3,29.57,,,,,,
איילון-נתב''ג,09/01/2013 10:00,17164,,,40.8,,,20.6,,,,,,,152.0,4.2,7.6,,12.2,,,,,,,,,,19.4,18.4,,,,,,
איילון-נתב''ג,09/12/2018 17:05,17164,,,54.6,,,,,,,,,,,,10.3,,17.8,,,,,,,,,,51.4,,,,,,,
איילון-נתב''ג,11/01/2006 00:00,17164,0.054,,36.2,,,62.1,,,,,,,150.8,6.3,9.6,,0.8,,,,,,,,,,25.6,41.6,0.245,,,,,
איילון-נתב''ג,11/01/2015 00:00,17164,,,41.0,,,35.7,,,,,,,164.0,6.33,8.56,,13.9,,,,,,,,,,22.2,27.12,,,,,,
איילון-נתב''ג,11/12/2013 10:30,17164,,,27.7,,,16.9,,,,,,,100.0,3.7,3.0,,1.9,,,,,,,,,,12.6,12.7,,,,,,
איילון-נתב''ג,12/01/2006 10:00,17164,0.134,,59.8,,,152.0,,,,,,,195.8,15.4,19.4,,62.6,,,,,,,,,,50.9,114.4,0.435,,,,,
איילון-נתב''ג,12/12/2013 08:30,17164,,,36.0,,,46.8,,,,,,,118.0,5.4,5.5,,6.1,,,,,,,,,,20.4,26.1,,,,,,
איילון-נתב''ג,13/12/2010 09:10,17164,,,24.62,,,17.7,,,,,,,111.3,5.39,4.67,,8.2,,,,,,,,,,11.2,19.71,,,,,,
איילון-נתב''ג,13/12/2013 12:00,17164,,,25.4,,,20.0,,,,,,,91.0,3.7,3.7,,9.5,,,,,,,,,,13.3,15.2,,,,,,
איילון-נתב''ג,14/03/2007 08:00,17164,0.079,0.2,38.1,,,83.7,,,,,,,150.0,9.21,9.8,,3.1,,,,,,,,,,29.5,50.3,,,,,,
איילון-נתב''ג,14/03/2007 08:45,17164,0.177,0.5,60.4,,,237.8,,,,,,,168.0,18.56,22.6,,5.3,,,,,,,,,,72.4,137.5,,,,,,
איילון-נתב''ג,15/03/2023 00:00,17164,,,35.6,,,,,,,,,,,,7.11,,10.858,,,,,,,,3.244,,,,,,,3.587,5.309,
איילון-נתב''ג,17/12/2002 08:40,17164,0.432,,86.01,,,289.05,,,,,,,527.2,26.5,40.22,,48.39,,,,,,,,,,34.4,207.7,,,,,,
איילון-נתב''ג,18/12/2002 09:00,17164,0.143,,74.35,,,76.15,,,,,,,233.0,10.05,11.88,,40.2,,,,,,,,,,20.8,56.99,,,,,,
איילון-נתב''ג,19/02/2021 11:30,17164,,,26.3,,,,,,,,,,209.0,5.5,5.7,,6.1,,,,,,,,,,,,,,,,,
איילון-נתב''ג,20/01/2020 12:00,17164,,,42.9,,,,,,,,,,,8.5,,,8.1,,,,,,,,,,28.1,42.0,,,,,,
איילון-נתב''ג,20/02/2003 11:00,17164,0.071,,47.55,,,33.57,,,,,,,190.1,5.66,7.25,,10.23,,,,,,,,,,12.6,26.85,,,,,,
איילון-נתב''ג,20/03/2016 12:10,17164,,,64.3,,,232.5,,,,,,,434.0,27.0,18.7,,12.1,,,,,,,,,,80.1,168.4,,,,,,
איילון-נתב''ג,20/11/2011 00:00,17164,,,34.14,,,21.4,,,,,,,151.0,6.84,5.91,,4.3,,,,,,,,,,15.6,20.82,,,,,,
איילון-נתב''ג,20/12/2002 11:00,17164,0.081,,57.75,,,24.6,,,,,,,215.6,5.45,8.11,,6.09,,,,,,,,,,13.6,23.8,,,,,,
איילון-נתב''ג,21/01/2003 14:30,17164,0.042,,47.95,,,15.36,,,,,,,156.9,3.18,4.81,,5.53,,,,,,,,,,7.0,13.9,,,,,,
איילון-נתב''ג,21/11/2007 07:30,17164,0.058,0.3,32.8,,,53.6,,,,,,,113.7,9.1,9.1,,14.8,,,,,,,,,,27.7,34.8,,,,,,
איילון-נתב''ג,22/02/2009 09:20,17164,,,30.9,,,62.7,,,,,,,105.2,6.0,6.4,,17.7,,,,,,,,,,26.9,42.2,,,,,,
איילון-נתב''ג,22/02/2016 10:15,17164,,,25.2,,,27.1,,,,,,,,5.0,17.1,,2.9,,,,,,,,,,17.4,4.0,,,,,,
איילון-נתב''ג,22/11/2007 07:00,17164,0.065,0.2,31.2,,,30.1,,,,,,,129.2,6.0,6.9,,5.3,,,,,,,,,,20.4,25.3,,,,,,
איילון-נתב''ג,22/11/2007 12:00,17164,0.079,0.4,43.5,,,60.2,,,,,,,154.3,9.0,9.9,,17.0,,,,,,,,,,28.5,43.8,,,,,,
איילון-נתב''ג,24/02/2003 15:00,17164,0.084,,57.48,,,36.7,,,,,,,203.9,6.44,8.64,,5.34,,,,,,,,,,15.9,27.95,,,,,,
איילון-נתב''ג,25/02/2003 09:00,17164,0.562,,46.95,,,23.55,,,,,,,187.6,4.54,8.28,,7.3,,,,,,,,,,10.4,20.31,,,,,,
איילון-נתב''ג,25/10/2006 11:00,17164,0.137,0.9,50.9,,,190.1,,,,,,,241.2,15.7,20.1,,17.9,,,,,,,,,,64.0,124.6,,,,,,
איילון-נתב''ג,25/12/2005 09:00,17164,0.063,,37.1,,,51.3,,,,,,,157.2,7.2,8.1,,2.8,,,,,,,,,,22.1,39.6,0.211,,,,,
איילון-נתב''ג,26/01/2004 00:00,17164,0.033,,64.0,,,21.8,,,,,,,231.5,5.5,7.9,,4.2,,,,,,,,,,19.8,23.4,0.205,,,,,
איילון-נתב''ג,26/02/2003 00:00,17164,0.05,0.05,44.3,,,24.29,,,,,,,165.1,4.7,8.15,,11.84,,,,,,,,,,13.2,18.98,,,,,,
איילון-נתב''ג,26/02/2010 11:00,17164,,0.1,31.989,,,20.2,,,,,,,,4.904,5.848,,12.5,,,,,,,,,,14.4,16.36,,,,,,
איילון-נתב''ג,26/11/2014 00:00,17164,,,32.1,,,26.6,,,,,,,99.0,3.866,3.68,,7.2,,,,,,,,,,14.1,17.36,,,,,,
איילון-נתב''ג,26/12/2005 09:30,17164,0.131,,58.4,,,188.7,,,,,,,217.5,16.4,19.5,,14.9,,,,,,,,,,56.1,121.9,0.504,,,,,
איילון-נתב''ג,27/02/2003 08:00,17164,0.085,,60.09,,,52.6,,,,,,,208.2,6.64,13.36,,30.2,,,,,,,,,,21.3,37.25,,,,,,
איילון-נתב''ג,27/12/2006 07:00,17164,0.068,0.33,49.0,,,61.6,,,,,,,161.6,7.4,9.7,,10.0,,,,,,,,,,31.8,42.6,,,,,,
